Marital_status,Application_mode,Application_order,Course,Previous_qualification_grade,Nationality,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Unemployment_rate,Inflation_rate,GDP,Status,Attendance_Time,Previous_education,Mothers_education,Fathers_education,1st_year_approved_unit,1st_year_enrolled_unit,1st_year_evaluated_unit,1st_year_credited_unit,1st_year_unevaluated_unit,1st_year_unit_grade,1st_year_completion_unit_rate,1st_year_success_evaluation_rate
single,1,1,Health Science,67.5,South Europe,Labour,Service & Sales,68.4,Yes,No,No,Yes,Female,No,18,No,9.4,-0.8,-3.12,Enrolled,Daytime,High School,High School,Middle School,10,10,18,0,3,64.0,0.99999990000001,0.5555555246913597
single,1,1,Social Science,61.5,South Europe,Labour,Labour,60.8,Yes,No,No,Yes,Female,No,18,No,11.1,0.6,2.02,Enrolled,Daytime,High School,High School,Middle School,11,14,21,0,0,61.66666666666666,0.7857142295918408,0.5238094988662143
single,1,1,Health Science,64.5,South Europe,Technician,Management,62.95,Yes,No,No,Yes,Female,No,19,No,9.4,-0.8,-3.12,Enrolled,Daytime,High School,High School,Bachelor & Specialized Education,7,10,21,0,2,60.0,0.699999930000007,0.3333333174603182
single,42,1,Business & Management,65.0,South Europe,Labour,Management,65.0,Yes,No,No,Yes,Female,No,26,No,9.4,-0.8,-3.12,Enrolled,Daytime,High School,Primary,Middle School,6,10,12,4,0,62.5,0.599999940000006,0.4999999583333368
single,43,1,Social Science,55.0,South Europe,Labour,Labour,55.0,No,No,No,Yes,Female,No,36,No,15.5,2.8,-4.06,Enrolled,Daytime,High School,Primary,Primary,22,29,43,19,1,57.5,0.7586206634958391,0.5116278950784211
single,1,2,Social Science,48.0,South Europe,Technician,Labour,50.0,No,No,No,Yes,Female,No,20,No,9.4,-0.8,-3.12,Enrolled,Evening,High School,Bachelor & Specialized Education,High School,9,12,19,0,0,58.125,0.7499999375000053,0.47368418559556913
single,39,1,Science & Technology,66.55,South Europe,Technician,Labour,65.0,No,No,Yes,Yes,Female,Yes,30,No,11.1,0.6,2.02,Enrolled,Daytime,High School,Primary,Primary,0,12,12,0,0,0.0,0.0,0.0
single,17,4,Business & Management,56.0,South Europe,Labour,Armed Forces,56.0,Yes,No,No,Yes,Female,No,20,No,16.2,0.3,-0.92,Enrolled,Daytime,High School,High School,Middle School,7,10,19,0,2,53.33333333333334,0.699999930000007,0.36842103324099823
single,1,4,Health Science,68.0,South Europe,Labour,Management,66.5,Yes,No,No,Yes,Female,No,19,No,7.6,2.6,0.32,Enrolled,Daytime,High School,High School,High School,10,14,16,0,0,69.9,0.7142856632653098,0.6249999609375024
single,17,1,Health Science,67.0,South Europe,Professional,Labour,65.6,No,No,No,Yes,Female,No,19,No,7.6,2.6,0.32,Enrolled,Daytime,High School,High School,Primary,6,10,14,0,0,55.5,0.599999940000006,0.42857139795918586
separated,39,1,Business & Management,65.0,South Europe,Labour,Labour,74.0,No,No,No,Yes,Female,Yes,31,No,13.9,-0.3,0.79,Enrolled,Evening,High School,Middle School,High School,8,10,21,0,0,55.20833333333334,0.7999999200000081,0.38095236281179223
married,51,1,Social Science,66.55,South Europe,Labour,Labour,52.0,No,No,Yes,Yes,Female,No,42,No,11.1,0.6,2.02,Enrolled,Evening,High School,Primary,Primary,20,22,28,10,0,61.75000000000001,0.9090908677685968,0.7142856887755111
single,17,1,Social Science,62.5,South Europe,Technician,Technician,58.3,Yes,No,No,No,Female,Yes,18,No,8.9,1.4,3.51,Enrolled,Daytime,High School,Bachelor & Specialized Education,Bachelor & Specialized Education,13,14,15,0,0,64.04761904761905,0.9285713622449028,0.8666666088888928
single,44,1,Health Science,70.0,South Europe,Service & Sales,Labour,70.0,Yes,No,No,Yes,Female,No,21,No,16.2,0.3,-0.92,Enrolled,Daytime,Bachelor & Specialized Education,Primary,Middle School,7,12,31,3,0,65.41666666666666,0.5833332847222263,0.22580644432882438
single,43,1,Health Science,85.0,South Europe,Labour,Labour,50.0,No,No,No,Yes,Female,No,20,No,13.9,-0.3,0.79,Enrolled,Daytime,High School,High School,Primary,14,15,16,0,0,67.5,0.9333332711111153,0.8749999453125034
single,1,1,Social Science,67.5,South Europe,Service & Sales,Labour,60.5,No,No,No,Yes,Female,No,19,No,7.6,2.6,0.32,Enrolled,Daytime,High School,Middle School,Middle School,6,12,25,0,0,51.66666666666667,0.4999999583333368,0.23999999040000036
single,17,1,Social Science,67.0,South Europe,Administrative,Service & Sales,61.25,Yes,No,No,Yes,Female,No,22,No,15.5,2.8,-4.06,Enrolled,Daytime,High School,High School,High School,10,12,18,0,0,63.916666666666664,0.8333332638888947,0.5555555246913597
single,44,1,Health Science,70.0,South Europe,Administrative,Service & Sales,70.0,Yes,No,No,Yes,Female,No,21,No,12.4,0.5,1.79,Enrolled,Daytime,Bachelor & Specialized Education,Master,Middle School,5,12,30,0,0,59.375,0.41666663194444736,0.16666666111111128
single,39,1,Health Science,75.0,South Europe,Service & Sales,Technician,70.0,No,Yes,No,Yes,Female,No,26,No,16.2,0.3,-0.92,Enrolled,Daytime,High School,High School,High School,10,15,24,0,0,58.35,0.6666666222222252,0.41666664930555625
single,17,4,Social Science,62.5,South Europe,Technician,Technician,64.45,No,No,No,Yes,Female,Yes,18,No,8.9,1.4,3.51,Enrolled,Daytime,High School,High School,Bachelor & Specialized Education,9,12,17,0,0,56.99999999999999,0.7499999375000053,0.5294117335640156
single,17,1,Business & Management,68.0,South Europe,Labour,Labour,60.85,Yes,No,No,Yes,Female,No,20,No,10.8,1.4,1.74,Enrolled,Daytime,High School,Primary,Primary,6,12,25,0,0,51.66666666666667,0.4999999583333368,0.23999999040000036
single,1,1,Social Science,60.0,South Europe,Labour,Labour,57.4,Yes,Yes,No,Yes,Female,No,19,No,7.6,2.6,0.32,Enrolled,Daytime,High School,Middle School,Primary,7,12,22,0,0,58.125,0.5833332847222263,0.3181818037190089
single,1,1,Business & Management,64.0,South Europe,Labour,Labour,63.5,No,No,No,Yes,Female,No,19,No,12.4,0.5,1.79,Enrolled,Daytime,High School,High School,Middle School,10,12,13,0,0,61.875,0.8333332638888947,0.7692307100591762
single,17,1,Business & Management,58.0,South Europe,Labour,Professional,56.1,Yes,No,No,Yes,Female,No,20,No,10.8,1.4,1.74,Enrolled,Daytime,High School,Middle School,Bachelor & Specialized Education,5,10,20,0,0,55.0,0.499999950000005,0.2499999875000006
single,17,1,Business & Management,61.0,South Europe,Service & Sales,Service & Sales,59.1,No,No,No,Yes,Female,Yes,20,No,12.4,0.5,1.79,Enrolled,Daytime,High School,High School,High School,10,12,16,0,0,54.375,0.8333332638888947,0.6249999609375024
single,43,1,Health Science,73.5,South Europe,Technician,Professional,50.0,No,No,No,Yes,Female,No,18,No,10.8,1.4,1.74,Enrolled,Daytime,High School,Bachelor & Specialized Education,Master,1,6,6,0,0,40.0,0.16666663888889352,0.16666663888889352
single,43,1,Science & Technology,63.5,South Europe,Administrative,Service & Sales,60.35,Yes,No,Yes,Yes,Female,No,18,No,12.7,3.7,-1.7,Enrolled,Daytime,High School,High School,Middle School,4,10,20,0,0,60.0,0.39999996000000404,0.1999999900000005
single,1,3,Business & Management,61.0,South Europe,Technician,Armed Forces,57.15,Yes,No,No,Yes,Female,Yes,20,No,12.4,0.5,1.79,Enrolled,Daytime,High School,High School,Middle School,10,12,17,0,0,64.0,0.8333332638888947,0.588235259515573
single,1,3,Business & Management,65.5,South Europe,Labour,Labour,66.2,Yes,No,No,Yes,Female,No,19,No,9.4,-0.8,-3.12,Enrolled,Daytime,High School,High School,Middle School,9,10,13,0,0,57.625,0.8999999100000091,0.6923076390532585
single,17,1,Social Science,74.0,South Europe,Administrative,Labour,64.9,No,No,No,Yes,Female,No,20,No,15.5,2.8,-4.06,Enrolled,Daytime,High School,High School,High School,9,12,22,0,0,52.5,0.7499999375000053,0.4090908904958686
single,1,1,Social Science,66.5,South Europe,Service & Sales,Armed Forces,65.65,Yes,No,No,Yes,Female,No,20,No,15.5,2.8,-4.06,Enrolled,Daytime,High School,High School,Middle School,13,14,17,4,0,67.39583333333334,0.9285713622449028,0.7647058373702448
single,17,1,Social Science,64.0,South Europe,Unemployed,Labour,59.3,Yes,No,No,Yes,Female,Yes,21,No,8.9,1.4,3.51,Enrolled,Daytime,High School,Middle School,High School,10,12,15,0,0,62.5,0.8333332638888947,0.6666666222222252
single,44,1,Health Science,70.0,South Europe,Labour,Labour,70.0,No,No,No,Yes,Female,No,20,No,13.9,-0.3,0.79,Enrolled,Daytime,Bachelor & Specialized Education,Middle School,Middle School,8,12,21,3,0,64.16666666666666,0.6666666111111158,0.38095236281179223
single,1,1,Health Science,50.5,South Europe,Labour,Administrative,50.5,Yes,No,Yes,Yes,Female,No,22,No,12.4,0.5,1.79,Enrolled,Daytime,High School,Primary,Primary,9,12,26,0,0,61.833333333333336,0.7499999375000053,0.3461538328402372
single,1,1,Social Science,63.0,South Europe,Professional,Service & Sales,58.45,Yes,Yes,No,Yes,Female,No,18,No,13.9,-0.3,0.79,Enrolled,Daytime,High School,Bachelor & Specialized Education,High School,12,14,22,0,0,58.75,0.8571427959183717,0.5454545206611581
single,17,3,Health Science,67.0,South Europe,Labour,Labour,60.2,Yes,No,No,Yes,Female,No,20,No,9.4,-0.8,-3.12,Enrolled,Daytime,High School,Primary,Middle School,8,10,21,0,2,59.833333333333336,0.7999999200000081,0.38095236281179223
single,1,1,Social Science,62.5,South Europe,Administrative,Administrative,66.0,No,No,No,No,Female,No,18,No,13.9,-0.3,0.79,Enrolled,Daytime,High School,High School,High School,9,12,21,1,1,57.58333333333333,0.7499999375000053,0.4285714081632663
single,39,1,Health Science,66.55,South Europe,Service & Sales,Labour,71.85,No,No,No,Yes,Female,No,27,No,12.4,0.5,1.79,Enrolled,Daytime,High School,Primary,Middle School,7,14,26,0,0,66.3125,0.49999996428571686,0.26923075887574005
single,39,1,Science & Technology,70.0,South Europe,Professional,Administrative,76.4,No,No,No,Yes,Female,No,26,No,16.2,0.3,-0.92,Enrolled,Daytime,High School,Bachelor & Specialized Education,High School,12,14,21,0,3,71.375,0.8571427959183717,0.5714285442176883
single,1,2,Social Science,60.5,South Europe,Professional,Technician,60.35,Yes,No,No,Yes,Female,No,18,No,9.4,-0.8,-3.12,Enrolled,Daytime,High School,Master,High School,4,12,17,0,0,26.875,0.3333333055555579,0.23529410380622917
single,39,1,Science & Technology,66.55,South Europe,Service & Sales,Technician,50.45,Yes,No,No,Yes,Male,No,24,No,10.8,1.4,1.74,Enrolled,Daytime,High School,High School,High School,4,10,15,0,0,56.25,0.39999996000000404,0.2666666488888901
single,17,1,Business & Management,63.0,South Europe,Administrative,Labour,58.45,No,No,No,Yes,Male,Yes,19,No,12.7,3.7,-1.7,Enrolled,Daytime,High School,Primary,Primary,6,10,22,0,0,58.33333333333333,0.599999940000006,0.27272726033057904
single,1,1,Business & Management,58.5,South Europe,Service & Sales,Labour,59.2,No,No,No,Yes,Male,No,20,No,7.6,2.6,0.32,Enrolled,Daytime,High School,High School,High School,7,10,18,0,0,55.0,0.699999930000007,0.3888888672839518
single,17,2,Science & Technology,63.5,South Europe,Labour,Armed Forces,60.55,Yes,No,No,Yes,Male,Yes,18,No,8.9,1.4,3.51,Enrolled,Daytime,High School,High School,High School,10,10,14,0,0,64.5,0.99999990000001,0.7142856632653098
single,1,2,Business & Management,66.5,South Europe,Service & Sales,Armed Forces,60.9,No,No,No,Yes,Male,No,20,No,15.5,2.8,-4.06,Enrolled,Daytime,High School,High School,High School,7,10,15,0,0,53.0,0.699999930000007,0.46666663555555765
single,39,1,Science & Technology,60.0,South Europe,Service & Sales,Armed Forces,73.4,No,No,No,Yes,Male,No,25,No,16.2,0.3,-0.92,Enrolled,Daytime,Bachelor & Specialized Education,High School,High School,7,10,11,3,0,69.25,0.699999930000007,0.636363578512402
single,1,1,Business & Management,66.55,South Europe,Service & Sales,Labour,69.0,No,No,Yes,Yes,Male,No,22,No,11.1,0.6,2.02,Enrolled,Daytime,High School,Middle School,High School,8,12,19,0,0,67.8125,0.6666666111111158,0.4210526094182837
single,1,1,Health Science,74.5,South Europe,Labour,Labour,69.0,No,No,No,Yes,Male,No,18,No,9.4,-0.8,-3.12,Enrolled,Daytime,High School,Primary,Primary,12,16,22,0,2,67.48333333333333,0.7499999531250029,0.5454545206611581
single,17,1,Business & Management,65.0,South Europe,Labour,Administrative,58.9,Yes,No,No,Yes,Male,No,20,No,10.8,1.4,1.74,Enrolled,Daytime,High School,High School,High School,6,10,19,0,0,57.5,0.599999940000006,0.31578945706371275
single,44,1,Business & Management,65.0,South Europe,Labour,Labour,65.0,Yes,No,Yes,Yes,Male,No,23,No,8.9,1.4,3.51,Enrolled,Daytime,Bachelor & Specialized Education,Bachelor & Specialized Education,Bachelor & Specialized Education,6,12,24,0,0,55.41666666666666,0.4999999583333368,0.24999998958333375
single,1,1,Science & Technology,66.0,South Europe,Technician,Technician,71.95,Yes,No,No,Yes,Male,No,20,No,9.4,-0.8,-3.12,Enrolled,Daytime,High School,High School,High School,5,10,23,0,3,59.16666666666666,0.499999950000005,0.21739129489603065
single,1,6,Business & Management,60.5,South Europe,Administrative,Service & Sales,58.4,No,No,No,Yes,Male,No,20,No,13.9,-0.3,0.79,Enrolled,Daytime,High School,Bachelor & Specialized Education,High School,8,10,22,0,0,58.083333333333336,0.7999999200000081,0.36363634710743875
single,39,2,Business & Management,86.0,South Europe,Labour,Labour,75.0,Yes,No,No,Yes,Female,Yes,28,No,9.4,-0.8,-3.12,Enrolled,Evening,High School,High School,Primary,10,10,13,0,0,51.99999999999999,0.99999990000001,0.7692307100591762
single,17,1,Business & Management,70.5,South Europe,Labour,Labour,64.4,Yes,No,No,Yes,Female,No,19,No,8.9,1.4,3.51,Enrolled,Daytime,High School,High School,High School,12,12,14,0,0,70.29761904761905,0.9999999166666736,0.8571427959183717
single,1,1,Health Science,66.5,South Europe,Professional,Labour,63.35,No,No,No,Yes,Female,No,19,No,16.2,0.3,-0.92,Enrolled,Daytime,High School,Bachelor & Specialized Education,High School,9,14,23,0,0,60.375,0.6428570969387788,0.39130433081285515
single,17,1,Business & Management,77.5,South Europe,Administrative,Labour,67.35,Yes,No,No,Yes,Female,No,20,No,12.7,3.7,-1.7,Enrolled,Daytime,High School,High School,High School,9,12,18,0,0,66.0,0.7499999375000053,0.49999997222222375
